Species,Site,Age,Height_in,Canopy_area_in2,Total_Fruit_No,HV_m2_cm2,WD,Ks,KL_Units,TotalAssim,BW_dry_avg,Photo,Trmmol,Cond,WUE_Intrinsic,Thick_cm,Area_cm2,LMA_g.cm2,LWR,LD_g.cm3,Length_mm_Top,Density_mm2_Top,SPI_Top,WUE_Instantaneous
PRLA,Jonaskop,15,115,13893.69351,132,1.203258,0.551493709,1.099728243,9.15E-05,176528.4024,1.7465,14.68984214,1.921183983,0.129105105,113.7820394,0.078066667,22.64812,0.038634553,3.501270733,0.494891795,0.041666667,59.73222556,0.10370178,7.646244332
PRNI,Cederberg,21,110,6697.875537,24,1.245096,0.527118991,0.105638976,8.48E-06,118544.5633,2.2575,9.520916354,0.897477014,0.091632652,103.9030973,0.0623,45.61888,0.031850848,3.138421674,0.511249567,0.026666667,67.90610906,0.048288789,10.60853504
PRNI,Cederberg,31,168,17646.32594,107,0.55957,0.505183031,0.193563764,3.46E-05,41751.00586,1.946,7.461270319,0.942147508,0.088847486,83.97840676,0.0619,39.57519,0.030094612,3.211852035,0.486181131,0.0275,71.30141451,0.053921695,7.919429023
PRNI,Cederberg,24,108,15613.71549,43,0.847661,0.557404698,0.409582049,4.83E-05,103210.521,1.8845,12.17591857,1.664338553,0.18851773,64.58765746,0.0672,38.97908,0.032222413,2.822008253,0.479500193,0.035833333,88.27794177,0.113351329,7.315770309
PRNI,Cederberg,18,102,6118.251693,22,1.417747,0.557227237,0.090048052,6.35E-06,161899.6264,2.403,11.41949923,1.581878233,0.167419965,68.20870635,0.066766667,50.4005,0.031269531,2.560750252,0.468340452,0.041666667,81.48733086,0.141471061,7.218949595
PRNI,Cederberg,17,113,5466.371217,8,1.405169,0.534764241,0.425413487,3.03E-05,204669.083,2.5265,14.56544551,2.060058614,0.234868056,62.01543862,0.075366667,43.1427,0.036089535,2.70655332,0.47885274,0.038333333,95.06855267,0.139697957,7.07040344
PRNI,Cederberg,33,205,15938.87033,60,0.865085,0.51717653,0.214984604,2.49E-05,92549.63195,2.219,10.69833128,1.83306856,0.182940095,58.47997007,0.065566667,42.58747,0.032051681,2.610715179,0.488841091,0.03,81.48733086,0.073338598,5.836296314
PRNI,Cederberg,31,209,14844.02529,104,1.141522,0.525224322,0.095511967,8.37E-06,118878.6608,1.977,10.41404839,1.728387295,0.171420485,60.75148131,0.070633333,47.75662,0.035010853,3.154697084,0.495670408,0.0325,76.39437268,0.080691556,6.02529793
PRNI,Cederberg,29,155,15171.53632,81,0.784958,0.47460995,0.085379552,1.09E-05,98123.72886,2.244,12.50050158,2.036344086,0.215890513,57.90204213,0.0725,41.75593,0.033839505,2.345024789,0.466751793,0.03625,76.39437268,0.10038698,6.138698104
PRLA,Cederberg,20,122,7961.581182,77,1.092004,0.468209608,0.623891711,5.72E-05,162461.9286,2.011,14.89279193,0.857761226,0.130102825,114.469397,0.066333333,18.3682,0.042573578,4.396100503,0.641812737,0.046666667,55.54049044,0.120954846,17.36239816
PRLA,Cederberg,14,79,2733.971007,7,0.955682,0.571157918,0.297482246,3.12E-05,85839.56422,1.951,8.992290589,1.355679675,0.1160794,77.46672182,0.070033333,14.18914,0.038762039,3.955645516,0.553479855,0.048333333,54.49255664,0.127300667,6.633049646
PRLA,Cederberg,18,107,4104.490802,7,1.083983,0.498892511,0.620320448,5.72E-05,166316.3389,1.729,15.343082,1.653774738,0.168255046,91.18943155,0.071933333,19.24954,0.044988088,4.826500547,0.625413645,0.036666667,61.82809313,0.083124436,9.277612995
PRLA,Cederberg,18,128,4118.627969,20,1.629076,0.444717509,1.064014523,6.54E-05,230664.645,1.983,14.17120433,2.342043312,0.208533096,67.95661985,0.064,24.87148,0.03867884,4.272762359,0.604356875,0.04,59.73222556,0.095571561,6.050786618
PRLA,Cederberg,19,112,4898.528345,20,1.116537,0.470009061,0.469170267,4.21E-05,111206.9642,1.637,9.969221767,1.473426445,0.148635468,67.07162093,0.0753,24.14998,0.041863389,5.117326165,0.555954701,0.038333333,63.92396067,0.093932709,6.766012515
PRLA,Cederberg,18,143,5849.645521,35,1.023253,0.454013556,0.499136287,4.88E-05,110226.0715,2.06,10.77212685,1.341316903,0.12078919,89.18121605,0.082233333,20.04891,0.041099491,4.381173023,0.499791137,0.045,64.97189447,0.131568086,8.031008053
PRLA,Cederberg,19,130,6570.641035,36,0.94736,0.527899488,0.303094023,3.20E-05,101563.1453,1.8955,10.72065469,1.195591045,0.108117571,99.15737646,0.0779,16.61778,0.042183733,5.363851237,0.541511335,0.04,61.82809313,0.098924949,8.966824179
PRLA,Cederberg,17,119,3894.004094,37,0.730917,0.401969267,0.449426364,6.15E-05,89206.36675,1.5695,12.20472547,1.716744857,0.178898598,68.22147075,0.064266667,26.88964,0.035180835,3.330110194,0.547419629,0.041666667,59.73222556,0.10370178,7.109225008
PRLA,Cederberg,18,112,7496.62547,41,1.064395,0.420905574,0.241713628,2.27E-05,109722.2098,1.5225,10.3191826,1.918694254,0.189348517,54.49835448,0.066033333,23.79227,0.034464975,4.654049732,0.521932991,0.038333333,72.30743094,0.106251753,5.378231877
PRLA,Cederberg,18,127,1562.156947,13,1.019381,0.531687656,0.220815397,2.17E-05,113170.8566,1.39,11.11458252,1.669733979,0.159794666,69.55540381,0.074166667,15.88338,0.040734403,4.444512893,0.549227903,0.038333333,64.97189447,0.095472589,6.656498975
PRLA,Cederberg,18,128,6861.238355,53,1.058093,0.485430651,0.337932229,3.20E-05,185817.7203,1.662,17.5770341,2.177824105,0.238341786,73.74717793,0.065833333,29.06954,0.038149898,4.058978459,0.579492124,0.035,76.49916605,0.093711478,8.070915397
PRLA,Cederberg,16,110,5207.189823,22,0.737661,0.556643753,0.209857077,2.85E-05,99478.96103,1.382,13.50011248,1.685609433,0.166968407,80.85429287,0.0786,16.80616,0.044090976,4.06001329,0.560953893,0.038333333,55.54049044,0.081613665,8.00903947
PRLA,Cederberg,20,126,7414.158662,27,0.718131,0.499612044,0.465262627,6.48E-05,93358.93148,1.8615,13.00027368,1.79876575,0.177033186,73.43410563,0.070033333,18.22559,0.039669498,4.909240171,0.566437385,0.038333333,61.82809313,0.090852948,7.227330007
PRRE,Cederberg,7,39,1409.004305,68,1.234749,0.573148015,0.092972339,7.53E-06,166859.845,0.9615,13.5136612,2.917603788,1.203549181,11.22817531,0.047566667,7.374875,0.032475127,9.996336634,0.682728664,0.048333333,37.72561614,0.088131231,4.631767088
PRRE,Cederberg,8,51,2239.955562,15,1.285774,0.532461582,1.038114657,8.07E-05,273283.0525,0.9645,21.25436948,3.510218558,0.301978728,70.38366451,0.04305,8.352285,0.029153699,16.33296001,0.677205552,0.0575,41.39338439,0.136856877,6.054998892
PRRE,Cederberg,7,53,881.2167393,17,1.076302,0.579277941,0.23303536,2.17E-05,170701.9345,1.088,15.88191553,2.505551305,0.239458589,66.32426758,0.053883333,5.208015,0.033506048,8.409313027,0.621825825,0.054166667,38.24958304,0.112225339,6.338691009
